STORE ID,VENUE,SUB VENUE,Lat,Lng,Address,CITY,STATE,ZIP,business name,id
1884,Street DT,Free Standing,42.997,-88.0477,2611 S 108th St,West Allis,WI,53227,Panda Express,4yFaYWdM2QC9IuowSUBqUA
1885,Street Non-DT,End Cap,40.5054,-88.9539,312-1 South Veterans Parkway,Normal,IL,61761,Panda Express,B_OYcpC-vPbgpeUcWNshZQ
1886,Street DT,Free Standing,32.3497,-110.9747,7848 N. Oracle Road,Oro Valley,AZ,85704,Panda Express,fv1YcBvRNx0qZBOdeW34tQ
1887,Street DT,Free Standing,46.0328,-118.3801,1721 Se Meadowbrook Blvd.,College Place,WA,99324,Panda Express,5A0453-keRx7uWZDEmtSjQ
1888,Street DT,Free Standing,39.9268,-86.0217,8255 E. 96th Street,Indianapolis,IN,46256,Panda Express,IDnCgk_TRztJEhqaI3B-Kw
1889,Military,In Line,33.2217,-117.3862,20845 Pacific Plaza,Camp Pendleton,CA,92055,Panda Express,oN3vxCImKLGoQ6cejj8nIQ
1890,University,Food Court,30.4126,-91.1771,Louisana State University,Baton Rouge,LA,70803,Panda Express - Temporarily Closed,FU1q-iXyzTb0WBm6hfrQNg
1891,University,Food Court,34.0205,-118.2862,3607 Trousdale Pkwy,Los Angeles,CA,90089,Panda Express - Temporarily Closed,9YsLJw8n4DBLsnchm-I8ZA
1892,Military,Food Court,32.6899,-117.1283,2260 Callagan Hwy,San Diego,CA,92136,Panda Express,tnrctWVW-cQXefQNxCcghg
1893,Hospital,Food Court,34.0607,-118.2058,1969 Zonal Ave.,Los Angeles,CA,90006,Panda Express - Temporarily Closed,eExmeB27UVS3JO-s7-H7_g
1894,University,Food Court,38.5635,-121.4282,6000 J Street,Sacramento,CA,95819,Panda Express - Temporarily Closed,hGJL8TcInvrIgPBoVEMsfQ
1896,Mall,Food Court,34.0851,-117.2976,500 Inland Center Drive.,San Bernardino,CA,92408,Panda Express - Temporarily Closed,hdnLrW-8WbLqIlxU2gLvFQ
1897,Street Non-DT,End Cap,39.7813,-86.1705,645 Oscar Robertson Blvd,Indianapolis,IN,46202,Panda Express,IgYsMdOF966ROpFT2KEBwg
1898,Street Non-DT,End Cap,32.2513,-110.8402,7111 E. Tanque Verde,Tucson,AZ,85715,Panda Express,r0imlei4r8mrkK-tWJGg0A
190,Mall,In Line,38.9174,-77.2209,7941 L Tyson Comer Center,Mclean,VA,22102,Panda Express - Temporarily Closed,1qtbfB8j13bCXaLDwntPvA
1900,Street DT,Free Standing,29.8507,-95.5054,5767 Hollister St,Houston,TX,77040,Panda Express,MSLn82YvpmbTKglrxxjhGw
1901,Street Non-DT,Free Standing,38.7791,-77.1886,7040 Old Keene Mill Rd,Springfield,VA,22150,Panda Express,lL0NXXhSbku0Gl49b4rjYQ
1902,Mall,Food Court,33.8639,-118.0955,129 Los Cerritos Center,Cerritos,CA,90703,Panda Express - Temporarily Closed,FebCqRB3i-8zp3kBpG16AA
1903,University,Food Court,33.8791,-117.8835,800 N. State College Blvd,Fullerton,CA,92831,Panda Express - Temporarily Closed,mLDCktsoAwBvbn4UaLO_Ew
1904,University,Food Court,38.5635,-121.4282,6000 J Street.,Sacramento,CA,95819,Panda Express - Temporarily Closed,hGJL8TcInvrIgPBoVEMsfQ
