STORE ID,VENUE,SUB VENUE,Lat,Lng,Address,CITY,STATE,ZIP
555,Street Non-DT,End Cap,33.6399,-112.0609,903 E. Bell Rd #101,Phoenix,AZ,85022
556,Street Non-DT,End Cap,36.101,-115.0544,5516 Boulder Highway,Las Vegas,NV,89122
560,Street Non-DT,End Cap,33.6568,-117.9188,2300 Harbor Boulevard N-8,Costa Mesa,CA,92626
562,Street Non-DT,End Cap,36.8479,-119.7914,7685 N. Blackstone Ave.,Fresno,CA,93720
565,Street Non-DT,End Cap,33.9522,-118.1635,8616 Garfield Ave,South Gate,CA,90280
566,Street Non-DT,End Cap,47.0483,-122.832,4210 Martin Way Se #107,Olympia,WA,98516
568,Street Non-DT,End Cap,36.0012,-115.1053,2654 W Horizon Ridge Pkwy,Henderson,NV,89052
569,Mall,Food Court,33.5615,-117.6698,27000 Crown Valley Parkway,Mission Viejo,CA,92691
571,Street Non-DT,End Cap,35.1133,-106.7015,2760 Coors Blvd NW,Albuquerque,NM,87120
574,Street Non-DT,End Cap,47.8493,-122.2542,1402 164th St. Sw #301,Lynnwood,WA,98037
575,Street Non-DT,End Cap,34.1955,-118.6064,6859 Topanga Canyon Blvd.,Canoga Park,CA,91303
578,Street Non-DT,End Cap,45.5052,-122.4411,1089 N.w. Civic Dr. #j1,Gresham,OR,97030
579,Street DT,Free Standing,35.1351,-106.6115,1408 Mercantile Ave,Albuquerque,NM,87107
581,Casino,Food Court,36.1128,-115.0623,5111 Boulder Highway,Las Vegas,NV,89122
582,Street DT,Free Standing,36.0716,-115.0906,3840 E. Sunset Road,Las Vegas,NV,89120
583,Street Non-DT,End Cap,41.9204,-88.2751,110 S. Kirk Rd.,Saint Charles,IL,60175
586,Street Non-DT,End Cap,33.3798,-111.6871,1959 South Power Rd. Space#107,Mesa,AZ,85208
587,University,Food Court,34.0577,-117.8234,"Campus Center, 3801 W Temple Ave",Pomona,CA,91768
590,University,In Line,32.2328,-110.952,1303 E University Blvd,Tucson,AZ,85719
591,CBD,In Line,41.8779,-87.634,302 S. Wells,Chicago,IL,60606
593,Mall,Food Court,42.7205,-84.4199,1982 W Grand River Ave F8,Okemos,MI,48864
594,Street Non-DT,End Cap,33.6671,-112.1872,20020 N. 59th Ave. Space# 101,Glendale,AZ,85308
596,Street Non-DT,End Cap,36.1585,-115.3112,9795 W. Charleston Blvd.,Las Vegas,NV,89117
599,Mall,Food Court,47.6596,-117.4236,808 W. Main St. Space Fc-4,Spokane,WA,99201
600,Mall,Food Court,36.715,-121.661,1340 Northridge Mall,Salinas,CA,93906
602,Street Non-DT,End Cap,33.1082,-96.8068,3511 Preston Road Suite #1,Frisco,TX,75034
605,Street Non-DT,End Cap,29.5702,-98.3269,8250 Agora Parkway #148,Selma,TX,78154
