,zip_code,yelp_rating,price_tag,review_count,lat,lng,name,storeid,Population,Median Age,Household Income,Per Capita Income,Poverty Count,Unemployment,city_name,state_name
4205,2048,2.5,$,63.0,42.0152659,-71.23154050000002,Chipotle,1294,23761,39.4,114720,48743,701,880,MANSFIELD,MA
4206,1752,3.0,$,81.0,42.3387462,-71.59144549999998,Chipotle,1295,39776,40.2,79228,40677,2475,1140,MARLBOROUGH,MA
4207,1757,2.5,$,9.0,42.148803,-71.488309,Chipotle,1296,28862,39.8,82260,37623,2547,949,MILFORD,MA
4208,1845,2.5,$,130.0,42.6760529,-71.1317931,Chipotle,1297,30589,40.1,109371,54587,1395,638,NORTH ANDOVER,MA
4209,1960,3.5,$,52.0,42.5421431,-70.9451778,Chipotle,1298,52564,45.6,68214,37306,5222,1391,PEABODY,MA
4210,2747,3.0,$,31.0,41.63947570000001,-70.991688,Chipotle,1299,23512,35.9,82923,31168,1459,644,NORTH DARTMOUTH,MA
4211,2360,3.0,,5.0,41.9533805,-70.71115870000001,Chipotle,1300,59133,47.0,87595,43887,3780,1314,PLYMOUTH,MA
4212,2368,2.0,$,59.0,42.1657465,-71.0454695,Chipotle,1301,34232,41.4,73860,33522,3621,1741,RANDOLPH,MA
4213,2767,3.0,$,51.0,41.9058172,-71.04957900000002,Chipotle,1302,14326,42.3,100125,43121,685,329,RAYNHAM,MA
4214,1867,2.5,$,23.0,42.5196424,-71.0923472,Chipotle,1303,25048,42.9,112836,50776,808,433,READING,MA
4215,1906,2.5,$,83.0,42.4795724,-71.0211436,Chipotle,1304,28165,46.4,80253,37950,2659,1022,SAUGUS,MA
4216,2771,3.5,$,46.0,41.80215620000001,-71.33773790000002,Chipotle,1305,15210,45.2,89155,43788,725,342,SEEKONK,MA
4217,1545,3.0,$,78.0,42.2754302,-71.7497546,Chipotle,1306,36666,42.0,106108,47333,1363,838,SHREWSBURY,MA
4218,1605,1.5,,25.0,42.2821893,-71.808157,Chipotle,1307,28820,32.1,37857,21630,8070,985,WORCESTER,MA
4219,1907,2.5,$,13.0,42.48177310000001,-70.9037891,Chipotle,1308,14950,44.7,113078,57652,438,287,SWAMPSCOTT,MA
4220,2451,2.5,$,80.0,42.3757608,-71.25284609999999,Chipotle,1309,18699,38.0,96914,47260,1577,587,WALTHAM,MA
4221,2452,1.0,$,14.0,42.413179,-71.2338012,Chipotle,1310,15288,31.8,86197,37099,1182,336,WALTHAM,MA
4222,1581,2.5,$,69.0,42.2855691,-71.6086093,Chipotle,1311,18982,39.0,108767,50853,780,310,WESTBOROUGH,MA
4223,49221,3.5,$,12.0,41.8757218,-84.0425636,Chipotle,1312,40615,37.6,47350,23324,5750,1077,ADRIAN,MI
4224,49221,4.0,$$,20.0,41.876178,-84.043951,Red Lobster,301,40615,37.6,47350,23324,5750,1077,ADRIAN,MI
4225,48104,3.0,$,86.0,42.2793165,-83.7405215,Chipotle,1314,43233,23.3,58144,40276,13712,1129,ANN ARBOR,MI
4226,48104,2.5,$,68.0,42.2554484,-83.69323349999998,Chipotle,1315,43233,23.3,58144,40276,13712,1129,ANN ARBOR,MI
4227,48302,3.0,$,30.0,42.6074988,-83.3003021,Chipotle,1317,16019,47.7,129154,79739,966,289,BLOOMFIELD HILLS,MI
4228,48322,2.5,$,89.0,42.5390724,-83.35992579999998,Chipotle,1318,32681,46.0,88850,48018,2191,797,WEST BLOOMFIELD,MI
4229,48084,2.5,$,102.0,42.5635933,-83.16820229999998,Chipotle,1320,15725,37.6,90383,46569,828,373,TROY,MI
4230,48034,2.0,$,82.0,42.49780850000001,-83.284222,Chipotle,1323,13819,42.4,45964,35148,1496,554,SOUTHFIELD,MI
4231,48076,2.5,$,100.0,42.4817126,-83.2416392,Chipotle,1324,25220,42.2,67672,33560,2604,975,SOUTHFIELD,MI
4232,48071,2.5,$,63.0,42.5338888,-83.10599659999998,Chipotle,1325,30226,37.3,50350,28642,5219,841,MADISON HEIGHTS,MI
4233,48071,2.0,$$,100.0,42.504343,-83.107404,Red Lobster,313,30226,37.3,50350,28642,5219,841,MADISON HEIGHTS,MI
4234,48359,3.0,$,27.0,42.7090548,-83.3065718,Chipotle,1326,9603,37.9,83036,41421,924,278,LAKE ORION,MI
4235,48187,2.5,$,50.0,42.3230001,-83.45958370000002,Chipotle,1328,49686,39.4,84161,38539,3376,1388,CANTON,MI
4236,48315,1.5,,15.0,42.6697843,-82.9957531,Chipotle,1330,27154,48.8,77532,42064,1538,536,UTICA,MI
4237,49512,3.0,$,63.0,42.91201220000001,-85.5782809,Chipotle,1335,16926,33.2,50216,30684,1577,282,GRAND RAPIDS,MI
4238,49512,2.5,$$,38.0,42.912111,-85.57078100000003,Red Lobster,310,16926,33.2,50216,30684,1577,282,GRAND RAPIDS,MI
4239,49544,2.5,$,8.0,43.0232648,-85.6883744,Chipotle,1336,10239,32.7,55486,26881,1163,102,GRAND RAPIDS,MI
4240,49009,3.0,$,28.0,42.2953951,-85.6552813,Chipotle,1340,45263,37.0,59557,36965,5334,1313,KALAMAZOO,MI
4241,49002,3.0,$,13.0,42.23059420000001,-85.5901709,Chipotle,1341,21226,35.6,56288,30106,2124,682,PORTAGE,MI
4242,49002,3.0,$$,43.0,42.221645,-85.588899,Red Lobster,319,21226,35.6,56288,30106,2124,682,PORTAGE,MI
4243,48168,2.5,$,81.0,42.424036,-83.4337969,Chipotle,1343,22336,45.2,133984,64009,278,356,NORTHVILLE,MI
4244,48604,3.0,$,29.0,43.4794559,-83.970047,Chipotle,1345,12435,25.1,45909,19327,2332,588,SAGINAW,MI
4245,48312,2.0,,6.0,42.55433220000001,-83.0289745,Chipotle,1346,34798,39.7,61136,29935,3353,543,STERLING HEIGHTS,MI
4246,48092,3.0,$,37.0,42.5143045,-83.04767729999998,Chipotle,1347,26893,42.4,56566,27428,3160,888,WARREN,MI
4247,48180,2.5,,3.0,42.197173600000006,-83.257584,Chipotle,1348,61574,37.9,47370,23336,10960,2611,TAYLOR,MI
4248,48180,2.5,,3.0,42.198536,-83.2489912,Chipotle,1350,61574,37.9,47370,23336,10960,2611,TAYLOR,MI
4249,56425,2.5,$,11.0,46.3577455,-94.2449344,Chipotle,1352,8192,40.3,66788,30172,542,99,BAXTER,MN
4250,55449,2.0,$,52.0,45.160496,-93.23381,Chipotle,1353,27946,38.1,105784,47744,1171,334,MINNEAPOLIS,MN
4251,55434,2.0,$,21.0,45.1272628,-93.2567374,Chipotle,1354,30559,38.1,67887,29398,1911,680,MINNEAPOLIS,MN
4252,55122,2.0,$,38.0,44.790692,-93.211819,Chipotle,1361,32253,38.6,78995,41649,2104,690,SAINT PAUL,MN
4253,55428,2.5,$,23.0,45.0941354,-93.3831974,Chipotle,1363,31222,36.6,53786,27593,3908,793,MINNEAPOLIS,MN
4254,55428,2.5,$,30.0,45.05518920000001,-93.3647936,Chipotle,1365,31222,36.6,53786,27593,3908,793,MINNEAPOLIS,MN
4255,55443,3.0,,3.0,45.1243149,-93.3572768,Chipotle,1364,31758,35.7,81867,33488,2329,621,MINNEAPOLIS,MN
4256,55316,2.5,$,15.0,45.1583768,-93.3908332,Chipotle,1366,24478,39.4,87692,38299,1246,423,CHAMPLIN,MN
4257,55337,1.5,$,73.0,44.7475261,-93.2887624,Chipotle,1367,45158,36.6,69993,35405,3360,1231,BURNSVILLE,MN
4258,55448,3.0,$,33.0,45.198744700000006,-93.354802,Chipotle,1368,27787,40.1,76621,34852,1411,765,MINNEAPOLIS,MN
4259,55317,2.0,$,33.0,44.8593764,-93.5343967,Chipotle,1369,21739,38.7,117031,56101,855,224,CHANHASSEN,MN
4260,55318,2.0,,9.0,44.8348893,-93.601253,Chipotle,1370,27657,36.3,89467,44273,1384,325,CHASKA,MN
4261,55345,2.0,$,37.0,44.91804000000001,-93.5024318,Chipotle,1371,21905,46.1,103182,54481,811,378,MINNETONKA,MN
4262,55344,2.5,$,59.0,44.8592224,-93.4428342,Chipotle,1372,17097,32.4,69264,41131,1940,480,EDEN PRAIRIE,MN
4263,55421,2.5,$,13.0,45.0626966,-93.2483022,Chipotle,1373,27998,36.8,53248,29578,3454,985,MINNEAPOLIS,MN
4264,55421,3.0,$,20.0,45.0388679,-93.2198027,Chipotle,1374,27998,36.8,53248,29578,3454,985,MINNEAPOLIS,MN
4265,55433,2.5,,4.0,45.1823148,-93.3208933,Chipotle,1375,34606,37.7,64158,30901,2829,584,MINNEAPOLIS,MN
4266,55433,2.5,$$,36.0,45.125029,-93.265501,Red Lobster,335,34606,37.7,64158,30901,2829,584,MINNEAPOLIS,MN
4267,55016,3.0,$,10.0,44.8328467,-92.9576239,Chipotle,1376,35783,36.3,94621,36587,1354,610,COTTAGE GROVE,MN
4268,55033,3.5,$,17.0,44.73886020000001,-92.8926484,Chipotle,1377,30054,41.5,75870,36492,1782,453,HASTINGS,MN
4269,55811,2.0,$,37.0,46.80487,-92.1596896,Chipotle,1378,27541,36.7,64220,33396,2859,563,DULUTH,MN
4270,55121,2.5,$,47.0,44.83597,-93.1519587,Chipotle,1379,8571,33.0,71503,35562,746,318,SAINT PAUL,MN
4271,55416,1.5,$,64.0,44.9317634,-93.3490353,Chipotle,1380,32171,35.1,81532,60873,2040,606,MINNEAPOLIS,MN
4272,55416,2.0,$,46.0,44.9474206,-93.3212314,Chipotle,1382,32171,35.1,81532,60873,2040,606,MINNEAPOLIS,MN
4273,55343,2.0,$,57.0,44.92422979999999,-93.4099477,Chipotle,1381,25185,35.1,62127,40611,2076,537,HOPKINS,MN
4274,55343,1.0,,1.0,44.893775,-93.4196544,Chipotle,1410,25185,35.1,62127,40611,2076,537,HOPKINS,MN
4275,55408,2.5,$,96.0,44.9553518,-93.2972197,Chipotle,1383,31090,30.5,54887,39320,4448,754,MINNEAPOLIS,MN
4276,55403,3.5,$,50.0,44.9736485,-93.2753808,Chipotle,1384,16588,33.3,47865,53689,3244,528,MINNEAPOLIS,MN
4277,55402,3.0,$,29.0,44.9783747,-93.2717135,Chipotle,1385,408,31.4,53580,46627,167,0,MINNEAPOLIS,MN
4278,55402,2.0,$,13.0,44.9770399,-93.2681827,Chipotle,1406,408,31.4,53580,46627,167,0,MINNEAPOLIS,MN
4279,55305,2.0,$,30.0,44.9673278,-93.4379903,Chipotle,1386,20818,41.5,75219,55533,1310,528,HOPKINS,MN
4280,55330,2.5,$,31.0,45.3012649,-93.5551021,Chipotle,1387,38283,36.9,91811,35359,2181,802,ELK RIVER,MN
4281,55025,1.0,,9.0,45.27829910000001,-92.9981993,Chipotle,1388,24679,39.6,84981,36654,1306,509,FOREST LAKE,MN
4282,55025,1.0,,9.0,45.2601482,-92.9851631,Chipotle,1389,24679,39.6,84981,36654,1306,509,FOREST LAKE,MN
4283,55127,2.0,$,23.0,45.0518696,-93.0635835,Chipotle,1390,18487,50.4,104079,60447,526,156,SAINT PAUL,MN
4284,55082,2.0,$,25.0,45.0356191,-92.8374405,Chipotle,1391,35867,44.4,94366,47358,1467,558,STILLWATER,MN
4285,55126,2.0,$,43.0,45.0580691,-93.1434984,Chipotle,1392,26736,45.0,87647,48041,1062,509,SAINT PAUL,MN
4286,55113,2.0,$,55.0,45.0114646,-93.1688631,Chipotle,1395,41608,39.6,66413,37670,4132,841,SAINT PAUL,MN
4287,55113,2.5,,2.0,45.0231874,-93.1677619,Chipotle,1415,41608,39.6,66413,37670,4132,841,SAINT PAUL,MN
4288,55113,3.0,$$,47.0,45.010981,-93.181642,Red Lobster,337,41608,39.6,66413,37670,4132,841,SAINT PAUL,MN
4289,55427,1.5,$,59.0,44.9844755,-93.3809456,Chipotle,1396,22966,39.6,75678,39667,1686,427,MINNEAPOLIS,MN
4290,55427,3.5,$$,45.0,44.985155,-93.393643,Red Lobster,331,22966,39.6,75678,39667,1686,427,MINNEAPOLIS,MN
4291,55044,2.0,$,18.0,44.6939941,-93.2858206,Chipotle,1397,53547,36.7,111551,46290,2167,835,LAKEVILLE,MN
4292,55068,2.0,$,47.0,44.7312584,-93.13323359999998,Chipotle,1398,29474,37.3,95940,39994,1115,523,ROSEMOUNT,MN
4293,55414,3.0,$,42.0,44.97342879999999,-93.2269503,Chipotle,1403,34725,22.3,37111,21907,13603,1569,MINNEAPOLIS,MN
4294,55414,2.5,$,50.0,44.9880324,-93.2569329,Chipotle,1405,34725,22.3,37111,21907,13603,1569,MINNEAPOLIS,MN
4295,55454,3.0,$,22.0,44.9729962,-93.2469786,Chipotle,1404,10109,20.9,21035,12033,3717,610,MINNEAPOLIS,MN
4296,55116,2.0,$,80.0,44.9174524,-93.1885184,Chipotle,1407,24196,39.8,69047,46946,2186,322,SAINT PAUL,MN
4297,55105,2.0,$,81.0,44.9401151,-93.1368015,Chipotle,1408,26729,32.8,88341,53878,1863,613,SAINT PAUL,MN
4298,55391,2.0,$,25.0,44.9714536,-93.4966761,Chipotle,1409,16322,49.8,114414,88496,733,213,WAYZATA,MN
4299,55447,2.0,$,49.0,45.020568,-93.4825565,Chipotle,1411,21737,39.0,97184,52298,1306,406,MINNEAPOLIS,MN
4300,55901,2.0,$,53.0,44.0627528,-92.500055,Chipotle,1412,54721,34.5,71941,35665,5434,1163,ROCHESTER,MN
4301,55904,2.5,$,60.0,44.00598660000001,-92.4644663,Chipotle,1413,27028,36.8,59026,28773,3361,816,ROCHESTER,MN
4302,55374,2.0,$,13.0,45.2005556,-93.5538889,Chipotle,1414,15078,38.7,124214,44432,255,251,ROGERS,MN
4303,55102,3.0,$,23.0,44.9454524,-93.095395,Chipotle,1418,18346,38.1,56084,39049,2312,427,SAINT PAUL,MN
4304,55378,1.5,$,61.0,44.7492566,-93.3804093,Chipotle,1421,29926,35.4,111355,43909,1710,578,SAVAGE,MN
4305,38655,3.5,$$,14.0,34.363548200000004,-89.5592665,Chipotle,1423,42623,32.0,45844,28962,10355,1444,OXFORD,MS
4306,64012,2.5,$,37.0,38.8140062,-94.510089,Chipotle,1424,27190,38.6,64489,30379,2548,588,BELTON,MO
4307,63044,3.0,$,39.0,38.7506974,-90.4278731,Chipotle,1426,10536,41.8,61061,29545,1290,366,BRIDGETON,MO
4308,63044,2.5,$$,67.0,38.752078,-90.426527,Red Lobster,349,10536,41.8,61061,29545,1290,366,BRIDGETON,MO
4309,63033,2.5,$,25.0,38.80460410000001,-90.3085985,Chipotle,1428,42991,38.0,54133,27159,4282,2012,FLORISSANT,MO
