Address,ZIP,lat,lng
"4103 Usf Cedar Cir, Marshall Student CenterUniversity of South Florida, Tampa, FL 33620",33620,28.06398,-82.413883
"1040 Sperry Ave.103, Patterson, CA 95363",95363,37.4640404,-121.1427406
"2000 Elitch CircleBuilding 6.34, Denver, CO 80204",80204,39.7502094,-105.0110042
"Pr #3, Km 9.6Avenida Roberto Clemente, Carolina, PR 00979",979,18.381792,-65.964019
"1400 University Ave.Suite 105, Las Cruces, NM 88001",88001,32.285009,-106.751261
"The Mall Of Columbia10300 Little Patuxent Parkway Suite 1415, Columbia, MD 21044",21044,39.215591,-76.861178
"6805 Houston RoadSuite 100, Florence, KY 41042",41042,39.0111768,-84.6469292
"95-1249 Meheula ParkwaySuite D-21, Mililani, HI 96789",96789,21.4521526,-158.0056188
"One Bellis Fair Parkway500, Bellingham, WA 98226",98226,48.7860408,-122.4906565
"7101 Democracy BlvdFC #5, Bethesda, MD 20817",20817,39.0241209,-77.1459575
"6587 Las Vegas Blvd SouthBldg M, Ste B-185, Las Vegas, NV 89119",89119,36.0682464,-115.1785589
"3310 Iowa StB, Lawrence, KS 66046",66046,38.9242161,-95.259936
