,Address,Zip Code,Latitude,Longitude,yelp_rating,price_tag,review_count,business_name
148,"12557 FL-535, Orlando, FL 32836",32836,28.381024,-81.502994,4.0,$$,92.0,red-lobster-orlando-7
149,"450 S Orange Ave, Orlando, FL 32801",32801,28.537175,-81.3791295,3.0,$$,83.0,red-lobster-orlando-2
150,"617 N Alafaya Trail, Orlando, FL 32828",32828,28.554431,-81.205673,3.0,$$,84.0,red-lobster-orlando-6
151,"910 E 23rd St, Panama City, FL 32405",32405,30.188907,-85.64558000000001,2.5,$$,33.0,red-lobster-panama-city
152,"296 N University Dr, Pembroke Pines, FL 33024",33024,26.011328,-80.248692,2.0,$$,133.0,red-lobster-pembroke-pines
153,"Cordova Mall, 5110 N 9th Ave, Pensacola, FL 32504",32504,30.475802,-87.210379,2.5,$$,64.0,red-lobster-pensacola
154,"803 S University Dr, Plantation, FL 33324",33324,26.113155,-80.25133100000001,2.5,$$,99.0,red-lobster-plantation
155,"1331 Tamiami Trail, Port Charlotte, FL 33948",33948,27.011956,-82.146564,3.5,$$,39.0,red-lobster-port-charlotte
156,"8909 US-19, Port Richey, FL 34668",34668,28.286799,-82.71406400000001,2.5,$$,43.0,red-lobster-port-richey
157,"100 FL-312 W, St. Augustine, FL 32086",32086,29.867396999999997,-81.323833,3.0,$$,43.0,red-lobster-saint-augustine
158,"6151 34th St N, St. Petersburg, FL 33714",33714,27.82785,-82.67926999999999,2.5,$$,60.0,red-lobster-saint-petersburg
159,"20 Towne Center Cir, Sanford, FL 32771",32771,28.807269,-81.335509,3.0,$$,57.0,red-lobster-sanford
160,"6747 S Tamiami Trail, Sarasota, FL 34231",34231,27.257372999999998,-82.519164,3.0,$$,36.0,red-lobster-sarasota
161,"721 US-27, Sebring, FL 33870",33870,27.489831,-81.484185,3.0,$$,21.0,red-lobster-sebring
162,"2328 Commercial Way, Spring Hill, FL 34606",34606,28.46632,-82.621408,2.5,$$,51.0,red-lobster-spring-hill
163,"2583 N Monroe St, Tallahassee, FL 32303",32303,30.476340000000004,-84.296401,3.0,$$,66.0,red-lobster-tallahassee
164,"17021 Palm Pointe Dr, Tampa, FL 33647",33647,28.117482,-82.379968,3.0,$$,78.0,red-lobster-tampa-3
165,"2625 E Busch Blvd, Tampa, FL 33612",33612,28.032213,-82.429262,2.5,$$,48.0,red-lobster-tampa
166,"11601 N Dale Mabry Hwy, Tampa, FL 33618",33618,28.054555999999998,-82.503337,3.0,$$,104.0,red-lobster-tampa-2
167,"3830 Wedgewood Ln, The Villages, FL 32162",32162,28.927854999999997,-82.024156,3.0,$$,37.0,red-lobster-the-villages
168,"2201 Palm Beach Lakes Blvd, West Palm Beach, FL 33409",33409,26.711689,-80.096749,2.5,$$,102.0,red-lobster-west-palm-beach
169,"230 Cypress Gardens Blvd, Winter Haven, FL 33880",33880,28.003608000000003,-81.72505100000001,2.5,$$,46.0,red-lobster-winter-haven
170,"2403 N Slappey Blvd, Albany, GA 31701",31701,31.60955,-84.176177,2.5,$$,21.0,red-lobster-albany-2
171,"1956 W Broad St, Athens, GA 30606",30606,33.95179,-83.403083,2.0,$$,41.0,red-lobster-athens
172,"3360 Camp Creek Pkwy, Atlanta, GA 30344",30344,33.656963,-84.49983399999999,3.0,$$,103.0,red-lobster-atlanta
173,"440 Walton Way, Augusta, GA 30901",30901,33.465216,-81.96136,3.5,$$,33.0,red-lobster-augusta
174,"2847 Washington Rd, Augusta, GA 30909",30909,33.511441999999995,-82.035651,2.0,$$,64.0,red-lobster-augusta-2
175,"1805 East-West Connector S.W, Austell, GA 30106",30106,33.853639,-84.605487,2.5,$$,69.0,red-lobster-austell
